id,title,summary,gender,min_age,max_age
NCT01000168,Treadmill Therapy and Brain Injuries,"
      Introduction.

        -  There is a demand for evidence whether treadmill therapy is more efficient than
           traditional walking training as an intervention for patients with hemiplegia after
           cerebral stroke.

      Design.

        -  A randomized controlled trial.

      Material.

        -  Stroke patients with moderate to severe functional deficits referred to inpatient
           medical rehabilitation.

      Method.

        -  Comparing a treatment group receiving treadmill training with body weight support with a
           treatment group receiving conventional walking training.

      Study aim:

        -  Investigate whether treadmill therapy is more effective than traditional functional
           training in restoring walking and transfer in patients with moderate to severe
           ambulatory deficits after stroke.
    ",All,18 Years,N/A
NCT01000194,Acute Fatty Acid Intervention Study (AFAST),"
      The main objective of this study is to elucidate whether different dietary fatty acids (SFA,
      PUFA, butter fat and margarine fat) in a high fat load will have different effects on PBMC
      gene expression profiles. Secondary objectives are to elucidate the effects of these fat
      loads on individual plasma free fatty acid profiles, triglycerides and cholesterol levels.
    ",Male,18 Years,30 Years
NCT01000220,Evaluation of Omeprazole Effect on Glaucoma,"
      Omeprazole is a safe drug listed in OTC drug due to its safety. It acts by irreversible
      inhibition of K/H ATP ase pump and also Na/K ATP ase, Na/H ATP ase.Considering these actions
      the effect of omeprazole on decreasing intra ocular pressure is an issue of debate.In this
      Randomized Clinical Trial conducted in labafinejad hospital, patients with glaucoma who need
      to take omeprazole due to GI problem are evaluated in two groups including placebo and drug
      users. The effect will be finally assessed.
    ",All,18 Years,70 Years
NCT01000285,EPOCH Chemotherapy and Bortezomib for Associated T-Cell Leukemia Lymphoma,"
      The rationale of the current study is to explore the use of combination chemotherapy together
      with antiretroviral agents in order to determine the efficacy and toxicity of this approach,
      while also examining markers of virus replication and expression, and tumor cell
      proliferation to gain understanding of the biological basis of this malignancy and to
      identify predictors of response.
    ",All,18 Years,N/A
NCT01000376,Evaluating the Pharmacokinetics and Tolerance of Co-administration of Oral Multiple Dose of Ketoconazole and an IV (Bolus) Infusion of Eribulin in Patients With Advanced Solid Tumors,"
      The purpose of this study is to investigate whether ketoconazole, taken orally, influences
      the level of eribulin in the blood when the two drugs are given at the same time. The study
      will enroll patients with solid tumors whose cancer became worse even after standard
      treatment, or for whom there is no standard treatment available. The study will also
      investigate whether eribulin given together with ketoconazole is safe (has few side-effects)
      and is effective against cancer.
    ",All,18 Years,N/A
NCT01000519,Effects of Different Mode of Exercise Training on Type 2 Diabetes,"
      Randomized study on the comparison between aerobic training versus progressive resistance
      training over a 2 months period for older adults with type 2 diabetes. The hypothesis is that
      progressive resistance training is just as effective as aerobic training on Hba1c and could
      be an alternative training for those older diabetic patients who cannot participate in
      aerobic exercise.
    ",All,50 Years,80 Years
NCT01000623,Venlafaxine and Hypnosis or Focused Attention In Treating Patients With Hot Flashes,"
      Rationale: Venlafaxine may help relieve hot flashes in women who have had breast cancer.
      Hypnosis or focused attention may help control hot flashes in postmenopausal women. It is not
      yet known whether giving venlafaxine together with hypnosis or focused attention is more
      effective in treating hot flashes.

      Purpose: This randomized clinical trial is studying venlafaxine together with hypnosis or
      focused attention in treating patients with hot flashes.
    ",Female,18 Years,N/A
NCT01000649,Effects of the V1a Agonist FE 202158 in Patients With Septic Shock,"
      The purpose of this trial was to examine the safety and tolerability, pharmacokinetics of FE
      202158 and to assess whether it can stabilize blood pressure and reduce vascular (blood
      vessel) leakage. FE 202158 had previously been tested in healthy volunteers.
    ",All,18 Years,N/A
NCT01000896,Study to Assess Safety and Tolerability of AZD0530 in Combination With Carboplatin and Paclitaxel,"
      The primary purpose of this study is to explore the safety and tolerability of AZD0530 in
      combination with carboplatin and paclitaxel in Japanese patients with non small cell lung
      cancer and epithelial ovarian cancer.
    ",All,20 Years,N/A
NCT01001000,Colour Coded Duplex Ultrasound of Native Arterio-venous Fistula for Haemodialysis With Venous Pressure Measurement Using Controlled Compression Ultrasound as a Predictor for Shunt Maturation in the Early Postoperative Phase,"
      Prospective observational ultrasound study of native arterio-venous fistula for haemodialysis
      with venous pressure measurement using controlled compression ultrasound.
    ",All,18 Years,N/A
