id,title,summary,gender,min_age,max_age
NCT00000408,Low Back Pain Patient Education Evaluation,"
      Back pain is one of the most common of all symptoms. It is also a great cause of days lost
      from work and visits to health care providers. This study will develop and evaluate an
      approach to low back pain that allows subjects to talk with each other and with health
      professionals via an Internet discussion group. Results we will look at include health
      behaviors, such as exercise; health status, such as pain and disability; and health care
      use, such as number of visits to doctors and other health care providers. Anyone 18 years
      old or older who lives in the United States and has ongoing Internet access can take part in
      the study. All subjects must have back pain and meet the eligibility criteria listed below.
    ",Both,18 Years,N/A
NCT00000492,Beta-Blocker Heart Attack Trial (BHAT),"
      To determine whether the regular administration of the beta-blocker drug propranolol to
      people who had had at least one documented myocardial infarction would result in a
      significant reduction of mortality from all causes over the follow-up period. Eligible
      volunteer patients were recruited to participate in a double-blind clinical trial within 21
      days after the onset of the acute event. One-half of the patients were randomly assigned to
      a beta-blocking drug (propranolol) and one-half to a placebo. The trial also evaluated the
      effect of propranolol on incidences of coronary heart disease mortality, sudden cardiac
      death, and nonfatal myocardial infarction plus coronary heart disease mortality in persons
      with documented previous myocardial infarction.
    ",Both,30 Years,69 Years
NCT00000501,Hypertension Prevention Trial (HPT) Feasibility Study,"
      To test the feasibility and the efficacy of nutritional interventions in the primary
      prevention of hypertension in individuals predisposed to the development of hypertension;
      specifically, to test the hypothesis that reduction of weight and/or decreased sodium intake
      in obese individuals, or decreased sodium intake with or without increased potassium intake
      (in men and women, regardless of weight) would prevent the elevation of blood pressure and
      the incidence of hypertension.
    ",Both,25 Years,49 Years
NCT00001853,Diabetes and Heart Disease Risk in Blacks,"
      It is unknown if obesity contributes to the development of heart disease in African American
      men and women.

      This study was created to determine whether there is a relationship between sex and body
      size and the incidence of heart disease in African American men and women. Researchers will
      attempt to associate obesity with the presence of heart disease risk factors. Risk factors
      that will be studied include; total body fat, body fat distribution, fat content of the
      blood (triglyceride concentration, low density lipoproteins [LDL], and high density
      lipoproteins [HDL]), how fast fat is removed from the blood, and how well insulin works in
      the body.

      Scientific studies have shown that obesity and increased levels of fat content in the blood
      are important risk factors for heart disease in Caucasian women. However, similar studies in
      African American women have failed to show the same correlation. In fact, it appears that
      African American women in all three body weight groupings, nonobese, overweight, and obese
      experience high death rates due to heart disease. In addition, prior research has shown that
      obese African American men tend to have elevated levels of fat in the blood while African
      American women have normal blood fat levels. Therefore, if high levels of triglycerides (fat
      found in the blood) are not seen in non-diabetic obese African American women, it cannot be
      considered a risk factor in this population. This suggests that studies conducted on
      Caucasian women may not provide insight into heart disease risk factors in African American
      women.

      The study will take 120 healthy nondiabetic African American men and women (ages 18-50)
      grouped by sex (60 men and 60 women) and body mass index 3 subgroups; nonobese, overweight
      and obese). Diabetes undeniably increases the risk of heart disease. Therefore patients
      suffering from diabetes will not be included in the study. Candidates for the study will
      undergo a series of tests and examinations over 5 outpatient visits. Subjects will have body
      fat analyses, resting energy expenditure measurements, an EKG (electrocardiogram), and
      specific blood tests.

      Researchers believe this study will provide significant insight into the causes of obesity
      and heart disease in African Americans.
    ",Both,18 Years,65 Years
NCT00004727,Antiplatelet Therapy to Prevent Stroke in African Americans,"
      The African-American Antiplatelet Stroke Prevention Study is designed to prevent recurrent
      strokes by administration of aspirin or ticlopidine. The study also provides community
      information on reducing risk of stroke and recognizing the symptoms of stroke. The study
      involves more than 50 participating hospitals located throughout the United States. Study
      medication is provided free of charge, and a transportation stipend is available for those
      in need.
    ",Both,29 Years,85 Years
NCT00005127,Muscatine Heart Study,"
      To conduct longitudinal and cross-sectional studies of risk factors for coronary heart
      disease and hypertension in school age children and adults who had been examined in previous
      screens.
    ",Male,N/A,N/A
NCT00005485,Environmental and Genetic Factors That Influence Cardiovascular Disease in African Americans,"
      This is a prospective study of the environmental and genetic factors that influence the
      development of cardiovascular disease (CVD) in African American men and women. The cohort is
      an expansion of the Jackson, Mississippi site of the Atherosclerosis Risk in Communities
      (ARIC) study and is a partnership among two minority institutions (Jackson State University
      and Tougaloo College), one majority institution in Jackson, Mississippi (the University of
      Mississippi Medical Center), the National Institutes of Health (NIH) National Center on
      Minority Health and Health Disparities (NCMHD), and the National Heart, Lung, and Blood
      Institute (NHLBI).
    ",Both,35 Years,84 Years
NCT00005757,Racial Variation in ACE--Genetic and Physiologic Bases,"
      To determine whether differences in the activity of the renin-angiotensin and bradykinin
      systems are involved in the pathogenesis of blood pressure variation in African Americans.
    ",Male,N/A,N/A
NCT00077948,Enoximone Plus Extended-Release Metoprolol Succinate in Subjects With Advanced Chronic Heart Failure,"
      Beta-blocker medications have been shown to improve heart function and prolong the lives of
      patients with chronic heart failure (CHF). Some people with advanced CHF have difficulty
      taking beta-blocker medications due to troublesome side effects, such as low blood pressure
      and/or low heart rate, severe tiredness, dizziness, or shortness of breath. In other words,
      they have difficulty tolerating beta-blocker medications. The purpose of this study is to
      determine if enoximone can improve a patient's ability to tolerate a beta-blocker
      medication.
    ",Both,18 Years,N/A
NCT00108381,Efficacy of Tailored Cognitive-Behavioral Therapy for Chronic Back Pain,"
      This clinical trial compares two psychological treatments for back pain.
    ",Both,18 Years,80 Years
